Root after shoot method: 1.0799025067826216
Dots for plot:
x = 0.0, T = -5.399347635659524e-13
x = 0.9078150703806368, T = 0.9139300910502319
x = 0.9098190771585191, T = 0.9158002995698712
x = 0.9118230839364012, T = 0.9176704444375536
x = 0.9138270907142835, T = 0.9195405324581365
x = 0.9158310974921656, T = 0.9214105704542424
x = 0.9178351042700479, T = 0.9232805652662598
x = 0.91983911104793, T = 0.9251505237523425
x = 0.9218431178258122, T = 0.9270204527884105
x = 0.9238471246036944, T = 0.9288903592681492
x = 0.9258511313815766, T = 0.9307602501030094
x = 0.9278551381594589, T = 0.9326301322222083
x = 0.929859144937341, T = 0.9345000125727276
x = 0.9318631517152233, T = 0.936369898119316
x = 0.9338671584931054, T = 0.9382397958444869
x = 0.9358711652709877, T = 0.9401097127485198
x = 0.9378751720488698, T = 0.9419796558494598
x = 0.9398791788267521, T = 0.9438496321831177
x = 0.9418831856046342, T = 0.9457196488030697
x = 0.9438871923825164, T = 0.9475897127806578
x = 0.9458911991603987, T = 0.9494598312049903
x = 0.9478952059382808, T = 0.9513300111829401
x = 0.9498992127161631, T = 0.9532002598391466
x = 0.9519032194940452, T = 0.9550705843160143
x = 0.9539072262719275, T = 0.9569409917737138
x = 0.9559112330498096, T = 0.9588114893901811
x = 0.9579152398276919, T = 0.9606820843611181
x = 0.959919246605574, T = 0.9625527838999921
x = 0.9619232533834563, T = 0.9644235952380363
x = 0.9639272601613385, T = 0.9662945256242493
x = 0.9659312669392206, T = 0.9681655823253957
x = 0.9679352737171029, T = 0.9700367726260057
x = 0.969939280494985, T = 0.9719081038283749
x = 0.9719432872728673, T = 0.9737795832525649
x = 0.9739472940507494, T = 0.9756512182364026
x = 0.9759513008286317, T = 0.9775230161354809
x = 0.9779553076065138, T = 0.9793949843231582
x = 0.9799593143843961, T = 0.9812671301905589
x = 0.9819633211622782, T = 0.9831394611465724
x = 0.9839673279401604, T = 0.9850119846178544
x = 0.9859713347180427, T = 0.9868847080488261
x = 0.9879753414959248, T = 0.988757638901674
x = 0.9899793482738071, T = 0.990630784656351
x = 0.9919833550516892, T = 0.9925041528105748
x = 0.9939873618295715, T = 0.9943777508798295
x = 0.9959913686074536, T = 0.9962515863973644
x = 0.9979953753853359, T = 0.9981256669141949
x = 0.9999993821632182, T = 0.9999999999991017

Errors
Error for A: 0.0117272433
Error for B: 0.0100000000
Error for F: 0.0000000000
Error for G: 0.0000000000
